,U1,U2,UR3,Total_Displacement
Claude,0.0363842672518487,0.003917028882950838,0.01534349890078009,0.03638321415073689
DeepSeek,0.0363842672518487,0.003917028882950838,0.01534349890078009,0.03638321415073689
GPT5,0.0363842672518487,0.003917028882950838,0.01534349890078009,0.03638321415073689
Grok,1.8206269002945787,0.2007921042021982,0.7706096471705783,1.8205900452086996
