,U1,U2,UR3,Total_Displacement
Claude,0.002713285417142803,1.4541515352604563e-06,1.4090932368014908e-07,0.002713240504100504
DeepSeek,0.002713285417142803,1.4541515352604563e-06,1.4090932368014908e-07,0.002713240504100504
GPT5,0.002713285417142803,1.4541515352604563e-06,1.4090932368014908e-07,0.002713240504100504
Grok,0.13576968266074363,7.454173949665734e-05,7.077009286238082e-06,0.13576861658118144
