Model,Omega_Max_RMSE,Omega_Avg_RMSE,Omega_Max_Norm_RMSE_%,Omega_Avg_Norm_RMSE_%,Theta_Max_RMSE,Theta_Avg_RMSE,Theta_Max_Norm_RMSE_%,Theta_Avg_Norm_RMSE_%
Claude,0.00016587038336637847,6.147141105682819e-05,0.019543941336981452,0.005523463523533783,0.00036081867301452985,0.0002674838201822723,0.2019541982220086,0.104035616925995
GPT5,4.089687866347736e-05,1.4273932149990785e-05,0.004818739676384346,0.001295742363529698,2.523816676746186e-05,1.032712396144538e-05,0.01412608081375781,0.004376713163497452
Grok,4.089687866347736e-05,1.4273932149990766e-05,0.004818739676384346,0.001295742363529697,2.523816676746186e-05,1.032712396144538e-05,0.01412608081375781,0.004376713163497452
DeepSeek,0.3985605297768834,0.16691521761413342,46.96102737033017,14.73713484717788,0.020404858396674264,0.008550897672369488,11.420824712051497,3.6460889658344198
