Model,U1,U2,U3,UR1,UR2,UR3,Total_Displacement
Claude4-5,0.07838651796219895,0.0005409246812279477,0.13718839514453318,2.2868816768922743e-06,0.0003786759325114537,8.194938566717249e-16,0.07883290959424544
DeepSeek,4.3226183545975045,0.031884032844077335,0.1959888649864103,1.7651212472230634e-05,0.0004639572591109099,3.135590705661467e-06,4.224473657379357
gpt5,0.014491567157460802,0.0011087208142862947,0.2733607468771675,3.0782793719260663e-06,0.00026161072662500865,2.0010950581380826e-16,0.015261880610997458
Grok4,0.17902937298870344,0.0010754626007186082,0.2628120841266753,1.381438842936661e-06,2.903286500871235e-05,1.5615696410170674e-16,0.17914212231768648
