Model,U1,U2,U3,UR1,UR2,UR3,Total_Displacement
Claude4-5,1.3293959817554073,24.197975093907388,25.110616431987694,23.407179558039704,38.402423768567786,0.0819490005068701,1.336965652702487
DeepSeek,73.30943663086637,1426.3150849446695,35.87330552580259,180.66745819402306,47.05100521365049,313557596.8454415,71.64490324831216
gpt5,0.24576970184792968,49.59803015327881,50.035258850885135,31.5074621990936,26.530563797984836,0.020010856530355132,0.2588336556087119
Grok4,3.036248263791304,48.110241831711,48.10445833442059,14.139597763978337,2.944291647704524,0.015615623016742495,3.0381583747665926
