X,Y,Z,U1,U2,U3,E11,E22,E33,E12,E13,E23,S11,S22,S33,S12,S13,S23
0,0.04,0.24,-0.057484205,-0.057589248,0.02115399,0,-0.002061328,0.091123903,0.001486177,-0.105507932,-0.107246181,381696.7492,377279.6169,576962.256,3184.664513,-226088.4253,-229813.246
0,0.04,0.28,-0.065723015,-0.06583707,0.024822245,0,-0.002163557,0.092340676,0.00166201,-0.100411,-0.102298485,386473.3677,381837.1742,584346.2451,3561.450842,-215166.4295,-219211.0386
0,0.04,0.32,-0.073549965,-0.073672363,0.028541244,0,-0.002266126,0.093658959,0.001822691,-0.095207602,-0.097233862,391683.5705,386827.5872,592381.339,3905.766872,-204016.2892,-208358.2759
0,0.04,0.36,-0.080956232,-0.081086375,0.032314962,0,-0.002372012,0.095072156,0.001969152,-0.089888172,-0.092037792,397286.3307,392203.4485,601012.3783,4219.611615,-192617.5112,-197223.8393
0,0.04,0.4,-0.087932073,-0.088069395,0.036147016,0,-0.002482374,0.096568701,0.002102038,-0.084441115,-0.086692517,403227.1133,397907.7401,610160.0431,4504.366326,-180945.2457,-185769.6793
0,0.04,0.44,-0.09446681,-0.094610744,0.040040458,0,-0.002596809,0.098131594,0.002221781,-0.078856324,-0.081180994,409434.7927,403870.2028,619716.779,4760.959563,-168977.8368,-173959.2731
0,0.04,0.48,-0.100549084,-0.100699034,0.043997544,0,-0.002713348,0.099738005,0.002328688,-0.073128492,-0.07549063,415819.9587,410005.6415,629544.2553,4990.046613,-156703.9104,-161765.6357
0,0.04,0.52,-0.106167369,-0.106322685,0.048019498,0,-0.002828326,0.101359101,0.002423029,-0.067260431,-0.069617175,422274.749,416214.0503,639472.8222,5192.204139,-144129.4955,-149179.6608
0,0.04,0.56,-0.111310753,-0.111470712,0.052106272,0,-0.002936209,0.102960296,0.002505128,-0.061266436,-0.063568883,428674.6603,422382.7849,649303.8658,5368.132308,-131285.2191,-136219.0355
0,0.04,0.6,-0.115969998,-0.116133792,0.056256322,0,-0.003029525,0.104502218,0.002575462,-0.05517545,-0.05737078,434882.9702,428391.1299,658816.2955,5518.847898,-118233.1078,-122937.3847
0,0.04,0.64,-0.120138825,-0.120305559,0.060466449,0,-0.003099101,0.105942727,0.002634727,-0.049033537,-0.051068491,440758.3945,434117.4629,667778.5234,5645.842989,-105071.8648,-109432.4802
0,0.04,0.68,-0.123815364,-0.123984069,0.06473174,0,-0.003134862,0.107240328,0.002683882,-0.042904697,-0.044730571,446166.2808,439448.7193,675966.9828,5751.176332,-91938.63569,-95851.22379
0,0.04,0.72,-0.127003577,-0.127173255,0.069045675,0,-0.003127563,0.108359223,0.002724148,-0.036868676,-0.03844759,450992.8304,444290.9098,683191.1662,5837.460968,-79004.30637,-82387.69359
0,0.04,0.76,-0.129714353,-0.129884047,0.073400478,0,-0.003071772,0.109275863,0.002756934,-0.031013982,-0.032325576,455160.3889,448578.0201,689322.9521,5907.716099,-66458.53226,-69269.09064
0,0.04,0.8,-0.131965814,-0.132134734,0.077787744,0,-0.002970239,0.109986182,0.002783698,-0.025424234,-0.026471004,458639.7553,452274.9572,694324.431,5965.067965,-54480.50162,-56723.5802
0,0.04,0.84,-0.13378223,-0.13394991,0.082199372,0,-0.002839313,0.110511714,0.002805748,-0.020156543,-0.020964932,461453.1457,455368.9028,698263.9615,6012.317794,-43192.59255,-44924.85371
0,0.04,0.88,-0.135190861,-0.135357368,0.086628682,0,-0.002714458,0.110901838,0.002824008,-0.015211872,-0.01582552,463660.2025,457843.5073,701306.9989,6051.445443,-32596.86936,-33911.82804
0,0.04,0.92,-0.13621613,-0.136382314,0.091071519,0,-0.002655267,0.111230793,0.002838815,-0.010497348,-0.010960951,465323.6835,459633.825,703675.3837,6083.175581,-22494.3176,-23487.75252
0,0.04,0.96,-0.136870437,-0.137038582,0.095527145,0,-0.002757436,0.111606007,0.002849814,-0.005754059,-0.006119973,466493.8787,460585.0879,705649.6089,6106.745235,-12330.12617,-13114.22813
0,0.04,1,-0.137136779,-0.137317338,0.1,0,-0.00324829,0,0.002855755,0,0,-13921.24394,-20881.86591,-13921.24394,6119.474761,0,0
0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.08,0.04,-0.010402466,-0.010535763,0.003380379,0,-0.001609756,0.085176964,0.000597235,-0.128212553,-0.130298437,358145.1772,354695.6997,540667.2432,1279.789595,-274741.1858,-279210.9367
0,0.08,0.08,-0.020514009,-0.020725362,0.006814157,0,-0.002472484,0.086374981,0.00114211,-0.12423092,-0.126455925,359582.1328,354283.9532,544671.3788,2447.377893,-266209.1148,-270976.9824
0,0.08,0.12,-0.030279413,-0.030549838,0.010290378,0,-0.002988077,0.087402863,0.001636972,-0.119758486,-0.122294591,361777.6551,355374.6336,549069.5043,3507.797472,-256625.3275,-262059.8372
0,0.08,0.16,-0.039675366,-0.039995229,0.013806386,0,-0.003337887,0.088412324,0.002087681,-0.11505407,-0.117916523,364604.733,357452.1185,554059.714,4473.602811,-246544.4356,-252678.2636
0,0.08,0.2,-0.048688064,-0.0490514,0.017363364,0,-0.003607718,0.089474188,0.002499309,-0.110201292,-0.113385325,367999.1555,360268.331,559729.5577,5355.663052,-236145.626,-242968.5528
0,0.08,0.24,-0.057307573,-0.057710268,0.020964321,0,-0.003842299,0.090622794,0.002875908,-0.105233303,-0.108730308,371916.4073,363682.9103,566108.108,6162.659,-225499.9352,-232993.5172
0,0.08,0.28,-0.065525392,-0.065964399,0.024613187,0,-0.004066829,0.09187484,0.003220633,-0.1001599,-0.103957097,376320.0466,367605.4129,573194.7035,6901.355452,-214628.3575,-222765.2073
0,0.08,0.32,-0.073333157,-0.073806078,0.028314308,0,-0.004296148,0.093236641,0.003535878,-0.094978389,-0.099056256,381173.5408,371967.5095,580966.3425,7576.880759,-203525.1192,-212263.4048
0,0.08,0.36,-0.080721935,-0.08122676,0.032072118,0,-0.004538869,0.094706885,0.003823391,-0.08967968,-0.094009448,386434.3522,376708.2041,589377.6765,8192.980472,-192170.7423,-201448.8171
0,0.08,0.4,-0.087681906,-0.088216822,0.035890859,0,-0.004799217,0.096277479,0.004084396,-0.084252541,-0.08879409,392049.6925,381765.6559,598358.5754,8752.276507,-180541.1584,-190273.0494
0,0.08,0.44,-0.094202341,-0.094765571,0.039774317,0,-0.005077662,0.09793349,0.004319726,-0.078687113,-0.083387331,397953.5483,387072.8441,607811.0265,9256.554865,-168615.2428,-178687.1368
0,0.08,0.48,-0.100271844,-0.100861502,0.043725538,0,-0.005370849,0.099652652,0.004529976,-0.072978211,-0.077769947,404064.8693,392555.9073,617606.266,9707.091771,-156381.8796,-166649.8875
0,0.08,0.52,-0.105878855,-0.106492806,0.047746529,0,-0.0056711,0.101404753,0.004715674,-0.06712863,-0.071930534,410287.0817,398134.7243,627582.9799,10105.01529,-143847.0646,-154136.8585
0,0.08,0.56,-0.111012425,-0.111648142,0.051837919,0,-0.005965729,0.103151233,0.004877453,-0.061152514,-0.065870174,416509.3011,403725.5953,637547.6575,10451.68559,-131041.1013,-141150.3736
0,0.08,0.6,-0.115663257,-0.116317693,0.055998627,0,-0.006236499,0.10484544,0.005016229,-0.055078536,-0.059607543,422609.7472,409245.8205,647278.5476,10749.0614,-118025.4349,-127730.4498
0,0.08,0.64,-0.119824991,-0.120494475,0.060225554,0,-0.006459729,0.106434154,0.005133335,-0.048952402,-0.05318398,428461.823,414619.5464,656535.0112,11000.0037,-104898.0033,-113965.6715
